社區,地址,Latitude,Longitude,樓層數,企業主數,人數預估,安裝片數,棟數,落成,坪價,類型,強調
寓見海社區,台南市安平區育平路60號,22.9864144,120.1664471,14,280,1120,6,4,2014年,22.52,住宅社區,false
力漢念真情公寓大廈,台南市安平區育平路166號,22.988415,120.1668411,13,208,630,7,5,1999年,11.4,住宅社區,false
華康栢麗大樓,台南市安平區文平路466號,22.9942031,120.1789921,8,50,200,2,2,1993年,10.0,住宅社區,false
台南長億城A區,台南市永康區中華路727巷16號,23.0175057,120.2272932,14,96,438,2,1,1999年,13.9,住宅社區,false
台南長億城B區,台南市永康區中華西街196巷36號,23.017305,120.226463,14,296,1186,8,7,1999年,13.9,住宅社區,false
府城諾貝爾,台南市永康區中華路7巷20弄36、38號,22.9995948,120.2343173,17,150,600,4,2,1995年,15.21,住宅社區,false
台南長億城E區,台南市永康區大橋一街53號,23.0167474,120.2270613,14,261,1024,8,6,1999年,13.9,住宅社區,false
陽光夏綠第,台南市永康區文化路261巷1號,23.0147565,120.254334,8,80,320,5,5,1999年,13.9,住宅社區,false
新都會假期,台南市永康區永平街56巷2號,23.0211511,120.261865,18,136,544,2,2,2000年,13.9,住宅社區,false
翡麗大樓,台南市北區北成路183號,23.0202779,120.2069348,14,131,524,2,1,2017年,17.3,住宅社區,false
東興華廈,台南市北區小東路423巷3號,22.9997879,120.2326427,10~14,138,552,6,3,2011年,15.8,住宅社區,false
長榮新城大樓,台南市北區長榮路五段41巷2號,23.00918,120.2197741,12、14,1221,4884,46,27,2003年,14.1,住宅社區,false
大道新城第三區,台南市北區北門路二段577巷22之1號,23.011475,120.2162038,10~11,357,1428,21,17,2004年,13.2,住宅社區,false
大道新城第五區,台南市北區北門路二段576巷23號,23.0106328,120.2164259,10,315,1260,16,15,2004年,13.2,住宅社區,false
宏觀世貿中心公寓大廈,台南市東區林森路一段395號,22.9854815,120.2215695,15,53,2700,2,,,,商辦大樓,false
大道新城第十區,台南市北區北門路二段527巷10號之1,23.0102197,120.2158366,10、11,600,2400,30,19,2004年,14.1,住宅社區,false
皇后大道大樓,台南市東區長榮路一段256號,22.9863693,120.2189104,12,61,2500,1,,,,商辦大樓,false
京東社區,台南市東區德昌路69號,22.9652847,120.237309,6,30,60,1,1,2019年,25.9,住宅社區,false
世貿天廈,台南市北區開元路92號,23.0062753,120.2175857,11,7,500,1,,,,商辦大樓,false
億載金城社區,台南市東區大同路二段97巷1號,22.978946,120.21367,16,400,1600,12,8,1994年,13.4,住宅社區,false
統舜財經天廈,台南市北區西門路三段159號,23.003707,120.2041106,14,29,1600,2,,,,商辦大樓,false
世界帝標公寓大廈,台南市東區龍山街87號,22.9833784,120.2227313,14,384,1536,12,12,2007年,25.0,住宅社區,false
中華電信西門服務大樓,台南市中西區西門路一段701號,22.9879621,120.1973583,10,13,600,2,,,,商辦大樓,false
鄉城長榮新秀,台南市東區長榮路一段227號,22.9856962,120.218253,12,177,177,2,1,2000年,21.24,住宅社區,false
中華電信成功通信大樓,台南市中西區成功路3號,22.9973073,120.2103418,11,1,400,2,,,,商辦大樓,false
立體家庭公寓,台南市歸仁區大順一街3號,22.9642658,120.2922168,14,144,576,6,6,1999年,11.2,住宅社區,false
民族鉅星大樓,台南市中西區民族路二段76之10號,22.9947876,120.2089152,15,19,800,1,,,,商辦大樓,false
二空新城C區,台南市仁德區保華路361號,22.9582022,120.2237228,10、13,92,368,4,2,2010年,16.4,住宅社區,false
中山大臣大樓,台南市中西區中山路88號,22.9941856,120.2079497,15,20,900,1,,,,商辦大樓,false
新光人壽台南大樓,台南市中西區民生路二段307號,22.9969408,120.1907459,24,96,3000,4,,,,商辦大樓,false
新光人壽永華大樓,台南市中西區永華路一段32號,22.9876696,120.1965385,12,20,1800,1,,,,商辦大樓,false
雅特貝特大樓,台南市安平區永華十一街17巷25號,22.9899533,120.1615191,7,19,800,1,,,,商辦大樓,false
經緯天廈,台南市永康區小東路689號,22.9988051,120.239753,23,98,1800,2,,,,商辦大樓,false
德昌大樓,台南市永康區中山南路45號,23.0120927,120.227086,8,6,500,1,,,,商辦大樓,false
金三角辦公大樓,台南市永康區中華路1號,22.9987439,120.2340998,,,3000,4,,,,商辦大樓,false
台南京城大樓,台南市永康區中華路12號,23.0001298,120.2351653,18,60,2900,2,,,,商辦大樓,false
巨星大樓,台南市永康區中華路144號,23.003157,120.2354027,8,13,600,1,,,,商辦大樓,false
中華大道大樓,台南市永康區中華路349號,23.008339,120.2336926,17,16,700,1,,,,商辦大樓,false
