社區,地址,Latitude,Longitude,樓層數,企業主數,人數預估,安裝片數,棟數,落成,坪價,類型,強調
"0709 aaaa",台北市松山區復興北路191號aa,25.0552806,121.5443432,樓層數aaa,"企業主數 aa",人數預估:aa,安裝片數:aa,棟數aaa,落成aa,坪價aa,住宅社區,false
0709999,台北市松山區復興北路191號DDD,25.0552806,121.5443432,樓層數DD,"企業主數 DD",人數預估:DD,安裝片數:DD,棟數DD,落成DD,坪價DD,住宅社區,false
貿慶大樓,台北市中山區南京東路一段25號,25.0523902,121.5242342,12,30,750,1,,,,商辦大樓,false
敦北禮蘭大樓,台北市松山區南京東路四段106號,25.0514678,121.5544575,12,12,300,1,,,,商辦大樓,false
太平洋敦南大地A區,台北市文山區福興路95巷21號,25.0048549,121.5485273,10,207,700,7,7,2001年,42.39,住宅社區,false
光華大樓,台北市中山區南京東路一段36號,25.0519952,121.52396,8,8,750,1,,,,商辦大樓,false
東勝大樓,台北市松山區南京東路四段130號,25.0513964,121.555721,12,25,1870,2,,,,商辦大樓,false
聯城國際大樓,台北市北投區大業路10號,25.12256,121.499803,8,8,700,2,,,,商辦大樓,false
南京46商業大樓,台北市中山區南京東路一段46號,25.0519526,121.5244071,12,7,850,1,,,,商辦大樓,false
富升金融,台北市松山區南京東路四段150號,25.0513317,121.5559912,10,15,1240,1,,,,商辦大樓,false
環宇經貿大樓,台北市北投區大業路160、162、164、166號,25.125108,121.499077,12,13,1600,2,,,,商辦大樓,false
正泰大樓,台北市中山區南京東路一段52號,25.0518795,121.5246662,11,23,1100,1,,,,商辦大樓,false
新高國際大樓,台北市松山區南京東路四段164號,25.051283,121.556704,12,54,800,1,,,,商辦大樓,false
首席天下大樓,台北市北投區北投路二段13號,25.1310129,121.4984101,14,29,750,2,,,,商辦大樓,false
聯合大樓,台北市中山區南京東路一段86號,25.0518622,121.5256117,11,44,1300,1,,,,商辦大樓,false
建業大樓(松山),台北市松山區南京東路四段170號,25.0512799,121.55682,12,21,1400,1,,,,商辦大樓,false
天母新錢站大樓,台北市北投區西安街一段367號,25.1145778,121.5149997,12,25,800,1,,,,商辦大樓,false
協和通商大樓,台北市中山區南京東路一段92號,25.0519005,121.5258812,11,27,400,1,,,,商辦大樓,false
尚業大樓,台北市松山區南京東路四段186號,25.0513229,121.557651,14,101,2200,2,,,,商辦大樓,false
中華電信北投服務中心,台北市北投區光明路176號,25.135568,121.503175,6,1,700,1,,,,商辦大樓,false
資生大樓,台北市中山區南京東路一段120號,25.0519078,121.5268083,9,24,1500,1,,,,商辦大樓,false
新光前瞻21大樓,台北市松山區南京東路五段1號,25.0518185,121.5573674,13,19,1400,1,,,,商辦大樓,false
中華電信士林服務中心,台北市士林區基河路10號,25.081095,121.523708,12,1,1000,2,,,,商辦大樓,false
世界通商,台北市中山區南京東路二段2號,25.0518481,121.5281047,11,13,1000,2,,,,商辦大樓,false
啟德通商大樓,台北市松山區南京東路五段16號,25.0513242,121.5588287,12,19,1300,1,,,,商辦大樓,false
士林都心大樓,台北市士林區承德路四段242、244、246號,25.0889419,121.5208651,10,12,700,1,,,,商辦大樓,false
永新企業集團,台北市中山區南京東路二段6號,25.0519246,121.5283721,12,19,1700,,,,,商辦大樓,false
財金大樓,台北市松山區南京東路五段46、48號,25.0513523,121.55986,12,24,600,1,,,,商辦大樓,false
峰群金融大樓,台北市士林區承德路四段150號,25.085021,121.523084,12,28,1400,2,,,,商辦大樓,false
良茂大樓,台北市中山區南京東路二段8號,25.0519049,121.5285979,12,24,1100,1,,,,商辦大樓,false
勝英大樓,台北市松山區南京東路五段70號,25.051264,121.560936,9,29,900,1,,,,商辦大樓,false
大興華廈,台北市士林區重慶北路四段79號,25.0816156,121.5124982,8,21,450,1,,,,商辦大樓,false
