社區,地址,Latitude,Longitude,樓層數,企業主數,人數預估,安裝片數,棟數,落成,坪價,類型,強調
台元科技園區M2棟(第三期),新竹縣竹北市台元一街5之10、5之11、5之12、5之13、5之14、5之15、5之16、5之17、5之18號,24.8415851,121.018011,13,16,750,2,,,,商辦大樓,false
台元科技園區O棟(第三期),新竹縣竹北市台元一街1號,24.8405505,121.0192915,14,24,1500,2,,,,商辦大樓,false
台元科技園區P1棟(第五期),新竹縣竹北市台元一街8之1、8之2、8之3、8之4、8之5、8之6、8之7、8之8號,24.8417319,121.0182121,14,23,1000,1,,,,商辦大樓,false
台元科技園區P2棟(第五期),新竹縣竹北市台元一街8之9、8之10、8之11、8之12、8之13、8之14、8之15、8之16號,24.8417319,121.0182121,14,24,1000,1,,,,商辦大樓,false
台元科技園區Q棟(第五期),新竹縣竹北市台元一街6號,24.8415761,121.019217,10,27,1600,2,,,,商辦大樓,false
台元科技園區S棟(第六期),新竹縣竹北市台元二街1號,24.8403921,121.0197882,10,19,1400,2,,,,商辦大樓,false
台元科技園區A棟(第七期),新竹縣竹北市台元街18號,24.839528,121.0122595,10,19,1400,2,,,,商辦大樓,false
豐邑京站國際商務中心,新竹縣竹北市復興一街253號,24.8117234,121.0353638,16,24,800,4,,,,商辦大樓,false
富宇財經大樓,新竹縣竹北市成功十二街38之1號,24.8128953,121.0219749,11,34,1000,1,,,,商辦大樓,false
OL商辦大樓,新竹縣竹北市成功十三街20號,24.812707,121.021196,10,32,1000,1,,,,商辦大樓,false
褒忠義民財團大樓,新竹縣竹北市勝利一路1號,24.8223837,121.0246032,12,3,400,1,,,,商辦大樓,false
雙翼大廈,新竹縣竹北市復興二路229號,24.8096091,121.0385073,13,33,1000,1,,,,商辦大樓,false
暐順經貿大樓,新竹縣竹北市復興三路二段168號,24.8076245,121.0383102,20,19,2500,3,,,,商辦大樓,false
築科辦公大樓,新竹縣竹北市光明六路東一段243、245、247、249、251、253、255、257、259號,24.8207482,121.0265622,15,85,2000,2,,,,商辦大樓,false
聯合科技大樓(竹北),新竹縣竹北市新泰路31號,24.8405642,121.0084221,9,43,1350,4,,,,商辦大樓,false
APEC國際商務中心,新竹縣竹北市嘉豐南路二段76號,24.8069151,121.031323,10,29,800,1,,,,商辦大樓,false
