社區,地址,Latitude,Longitude,樓層數,企業主數,人數預估,安裝片數,棟數,落成,坪價,類型,強調
長榮富豪,桃園市桃園區莊敬路一段154號,25.0255705,121.3003003,12,108,324,4,3,1994年,18.0,住宅社區,false
天馥社區,桃園市蘆竹區大興一街156號,25.0159596,121.2626224,10~12,146,438,6,5,2013年,16.2,住宅社區,false
巴黎伯爵,桃園市桃園區莊敬路一段181巷6號,25.0244282,121.2996946,16,360,1080,10,10,1996年,35.0,住宅社區,false
宜誠君悅特區,桃園市蘆竹區大興八街93號,25.0175116,121.260362,13,104,112,2,1,2009年,16.0,住宅社區,false
豐田大郡,桃園市桃園區莊敬路一段210巷1號,25.0250339,121.2987805,14、23,725,2900,16,8,1996年,18.86,住宅社區,false
楓丹白露社區,桃園市蘆竹區大興十街101號,25.020767,121.2548238,12,88,264,4,4,2015年,20.0,住宅社區,false
台北捷豹,桃園市桃園區經國路280號,25.021957,121.303438,24,266,1064,4,2,1998年,18.71,住宅社區,false
寶欣天廈,桃園市蘆竹區大興十四街41號,25.0239627,121.2536701,12,72,216,3,2,1996年,19.0,住宅社區,false
龍鳳經國,桃園市桃園區經國路405號,25.0175048,121.3048692,16,160,480,4,4,1995年,18.4,住宅社區,false
御園道,桃園市龜山區文三二街66巷1號,25.0573266,121.3599508,9,144,432,8,8,2005年,24.4,住宅社區,false
新站京華,桃園市桃園區建國路61巷5之2號1樓,24.9852199,121.315248,10,320,1280,16,16,2002年,20.59,住宅社區,false
吉品天廈,桃園市龜山區文化二路38號,25.0588969,121.365245,12,142,426,4,2,2000年,43.0,住宅社區,false
世中心,桃園市桃園區新生路103號1樓,24.9966545,121.3085931,15,210,840,5,2,2019年,18.09,住宅社區,false
臺北樂高,桃園市龜山區文化七路111號,25.0517308,121.3647626,7~9,320,960,10,10,1997年,22.0,住宅社區,false
世界花園,桃園市桃園區永安路403巷2號,25.0015645,121.2982767,9,234,682,13,13,2000年,17.5,住宅社區,false
綠光社區,桃園市龜山區文化五路115巷6號B1,25.0533247,121.3635195,5~6,528,1584,21,21,1996年,22.0,住宅社區,false
成功大廈,桃園市桃園區壽山路202號,24.9958232,121.3246691,12,180,540,4,4,1985年,13.0,住宅社區,false
龍鳳禾園,桃園市龜山區龍鳳街32巷10號,25.0191653,121.4052476,7、8,50,200,3,3,2012年,27.43,住宅社區,false
葛里法2Ｗ社區,桃園市桃園區民族路256號,24.996387,121.3068814,25,100,300,4,2,2010年,26.2,住宅社區,false
龍鳳一品花園,桃園市龜山區龍鳳街25號,25.0186582,121.4052367,9,135,405,6,6,2015年,28.9,住宅社區,false
中正綠園邸,桃園市桃園區中正路1381號,25.0238183,121.2947464,20,359,1436,6,3,1997年,17.83,住宅社區,false
"Ai 樂捷市社區",桃園市龜山區長慶3街24號,25.0551168,121.3836128,15,344,1032,8,8,2020年,22.0,住宅社區,false
達爾菲二期,桃園市桃園區中埔二街216號,25.014226,121.2948734,15,30,120,1,1,2015年,31.61,住宅社區,false
威世紀,桃園市龜山區文興路110號,25.0580065,121.3647517,14,168,504,4,2,1998年,32.7,住宅社區,false
國強一街社區,桃園市桃園區國強一街266號,24.991294,121.280294,9,180,720,7,7,2003年,18.2,住宅社區,false
德興A8+社區,桃園市龜山區文興路36號,25.0595674,121.3636046,15,70,210,2,1,2014年,36.1,住宅社區,false
合遠家沁社區,桃園市桃園區國強十一街63號,24.9924643,121.2793225,15,131,393,1,1,2017年,22.0,住宅社區,false
