社區,地址,Latitude,Longitude,樓層數,企業主數,人數預估,安裝片數,棟數,落成,坪價,類型,強調
東方旗艦大樓,基隆市中正區義一路43號,25.1333852,121.7458129,10,26,1100,1,,,,商辦大樓,false
海關天廈,基隆市中正區中正路18號,25.1327203,121.7446275,12,13,600,1,,,,商辦大樓,false
永隆大廈,基隆市中正區中正路34號,25.1333963,121.7450035,12,55,800,2,,,,商辦大樓,false
信二停車場,基隆市中正區信二路299號,25.1308519,121.7462494,13,2,650,2,,,,商辦大樓,false
"基隆中華電信營運處 -綜合大樓",基隆市安樂區安樂路二段127號,25.1220925,121.7251954,7,1,800,1,,,,商辦大樓,false
新光人壽基隆大樓,基隆市仁愛區仁一路259號,25.1280983,121.7487098,11,11,1200,1,,,,商辦大樓,false
欣隆大樓,基隆市信義區信一路57號,25.1284585,121.7533454,7,1,500,,,,,商辦大樓,false
山海觀,基隆市中正區觀海街2號B1,25.1393777,121.7955269,16,3056,9232,63,32,1991年,13.0,住宅社區,false
