社區,地址,Latitude,Longitude,樓層數,企業主數,人數預估,安裝片數,棟數,落成,坪價,類型,強調
財經諾曼第大樓,高雄市小港區沿海一路182號,22.56774,120.3508159,12,12,800,1,,,,商辦大樓,false
華年達社區,高雄市三民區寶安街2號,22.6400952,120.3317658,9,76,304,4,4,1998年,13.0,住宅社區,false
小王子大樓,高雄市左營區文天路170號,22.687624,120.31515,13,206,618,7,7,1996年,16.7,住宅社區,false
新光人壽林園大樓,高雄市林園區沿海路三段2號,22.5003596,120.393021,10,7,1800,1,,,,商辦大樓,false
園中園中園大廈,高雄市三民區黃興路105~115號,22.6464723,120.3418055,18,240,960,12,6,1991年,11.4,住宅社區,false
中央公園大樓,高雄市左營區立大路442巷10號,22.677456,120.305476,14,120,480,4,4,1997年,16.5,住宅社區,false
中華電信學院高雄所教學大樓,高雄市仁武區仁勇路400號,22.6723031,120.3497035,6,1,800,1,,,,商辦大樓,false
高橋町大廈,高雄市橋頭區樹德路24號,22.7597314,120.304944,12~16,91,273,3,3,1997年,10.0,住宅社區,false
自由麗晶,高雄市左營區自由三路328號,22.6745877,120.3123902,15,90,360,3,3,2005年,18.0,住宅社區,false
中華電信學院高雄所澄清湖會館,高雄市仁武區仁勇路400之1號,22.6723031,120.3497035,7,1,900,1,,,,商辦大樓,false
華榮富貴大樓,高雄市鼓山區華榮路436號,22.669795,120.294376,14,72,168,3,3,1996年,14.0,住宅社區,false
馨樓社區,高雄市左營區大中一路388號,22.6780825,120.3213381,14,246,984,6,6,1999年,15.0,住宅社區,false
神農大樓,高雄市橋頭區成功路5號,22.7614893,120.3088113,7,6,400,,,,,商辦大樓,false
優邑大樓,高雄市鼓山區華寧路66號,22.667952,120.292388,8,32,128,2,1,1998年,12.0,住宅社區,false
快可易大樓,高雄市左營區大中二路258號,22.6802052,120.3124454,15,240,780,6,6,2007年,16.2,住宅社區,false
頂好商務大樓,高雄市岡山區中山北路140號,22.7971777,120.2985587,15,8,500,2,,,,商辦大樓,false
瑞豐甲第大樓,高雄市鼓山區華豐街63號,22.6670093,120.2949722,16,69,276,3,3,1997年,17.0,住宅社區,false
白金漢宮社區,高雄市左營區大中二路315號,22.679244,120.312865,22,260,1040,6,6,1999年,12.0,住宅社區,false
豪邁商業大樓,高雄市岡山區中山北路187號,22.797502,120.29725,12,10,600,1,,,,商辦大樓,false
棋琴六重奏大樓,高雄市鼓山區明誠三路475號,22.6611237,120.3008992,15,228,876,6,5,2006年,20.0,住宅社區,false
陽光大樓,高雄市左營區大中二路626號,22.684636,120.30695,22、24,230,666,4,2,1996年,13.8,住宅社區,false
新光人壽岡山大樓,高雄市岡山區岡山路434號,22.7960941,120.2957485,7,5,1200,1,,,,商辦大樓,false
石上麗晶大樓,高雄市鼓山區明華路322~346號,22.6629901,120.3014888,13,123,369,4,4,2006年,25.0,住宅社區,false
微風京品大廈,高雄市左營區介壽路221巷12號,22.6813584,120.2817366,15,546,2184,14,14,2007年,18.0,住宅社區,false
綠光大樓,高雄市鼓山區明華路323號,22.66324,120.3014179,16~17,160,480,6,3,1995年,16.1,住宅社區,false
山海永恆大樓,高雄市左營區自勉路156號,22.6810463,120.2802128,15,248,992,8,8,2007年,15.9,住宅社區,false
琉璃坊大廈,高雄市鼓山區昌盛路12號,22.6639532,120.3018462,14,148,592,3,3,2000年,22.32,住宅社區,false
鉑金海岸大樓,高雄市左營區自勉路136號,22.6798563,120.2803591,15,192,768,6,6,2008年,15.3,住宅社區,false
極美大廈,高雄市鼓山區美術北一街103號,22.6633135,120.2860843,14,130,520,5,5,2006年,21.1,住宅社區,false
博愛大廈,高雄市左營區博愛二路420號,22.6664721,120.30357,26,304,1216,8,5,1998年,18.1,住宅社區,false
太普美學大樓,高雄市鼓山區美術北三路101號,22.662396,120.289478,15,222,888,6,6,2006年,21.2,住宅社區,false
博愛100大廈,高雄市左營區立信路231號,22.6675347,120.303797,29,180,720,4,2,1999年,21.8,住宅社區,false
美北岸大樓,高雄市鼓山區美術北三路218號,22.6634262,120.2875275,15,185,740,5,5,2008年,21.5,住宅社區,false
美術東世界大樓,高雄市鼓山區美術東四路289號,22.6603562,120.290137,15,220,880,5,5,2006年,21.5,住宅社區,false
遠見御琚大廈,高雄市鼓山區美術東五路116號,22.6590662,120.2918001,18,66,264,3,2,2014年,24.3,住宅社區,false
人本自然大樓,高雄市鼓山區美術東六街192號,22.6596854,120.2915978,60,116,464,4,4,2005年,21.2,住宅社區,false
富國大街大樓,高雄市左營區嘉慶街56號,22.6590845,120.3068648,14,224,896,8,8,2001年,19.9,住宅社區,false
