社區,地址,Latitude,Longitude,樓層數,企業主數,人數預估,安裝片數,棟數,落成,坪價,類型,強調
誠豐天廈,台中市南屯區向上南路一段167號,24.1448227,120.6535771,14,35,950,2,,,,商辦大樓,false
普天大廈,台中市北屯區崇德七路196、192號,24.1809168,120.6865058,17,135,490,4,4,1996年,17.0,住宅社區,false
呈雙郡大樓,台中市南屯區益豐路四段688號；益豐東街182、186、188號,24.1504346,120.6288832,8,7,500,1,,,,商辦大樓,false
築心苑,台中市北屯區崇德十五路1、3號,24.1944732,120.6871209,15,81,225,4,2,2013年,19.6,住宅社區,false
同隆經緯天下,台中市南區美村路二段186號,24.1250849,120.6634093,12,20,1650,2,,,,商辦大樓,false
情定水蓮,台中市北屯區軍福十七路52號,24.1754092,120.7197961,9,72,288,3,3,2006年,23.0,住宅社區,false
大安國際大樓,台中市南區忠明南路758號,24.1231903,120.6600755,42,59,2800,2,,,,商辦大樓,false
昇祐若禾,台中市北屯區軍福十八路101號,24.1781514,120.7180698,12,52,156,2,1,2018年,21.9,住宅社區,false
大安國王大樓,台中市南區忠明南路787號,24.1234118,120.6608412,42,77,4000,2,,,,商辦大樓,false
崇德仁美,台中市北屯區長生一街56、58、60號,24.1953007,120.6858761,15,84,300,3,3,2015年,23.0,住宅社區,false
新光台中復興大樓,台中市南區復興路三段465號,24.1338058,120.6810716,12,14,1000,1,,,,商辦大樓,false
香草天空,台中市北屯區長生一街73號,24.1961635,120.6856239,13,36,108,4,4,2003年,21.78,住宅社區,false
登峰天廈,台中市南區仁和路292號,24.1261778,120.6837411,13,12,700,1,,,,商辦大樓,false
國泰維瓦第花園大廈,台中市北屯區文昌二街二巷8號1樓,24.171866,120.679977,12,147,441,7,7,1997年,17.92,住宅社區,false
國宏股份有限公司台中分公司,台中市南區復興路二段120之3號,24.1241263,120.6635672,6,5,400,1,,,,商辦大樓,false
國聚之界,台中市北屯區后庄路39號,24.1894261,120.6637414,13、14,98,294,4,2,2017年,27.0,住宅社區,false
祥普環球辦公大樓,台中市東區雙十路一段4之33號,24.141848,120.685529,12,23,1100,1,,,,商辦大樓,false
中清晶華,台中市北屯區后庄一街69號,24.1881888,120.663401,9,165,660,3,3,1998年,21.0,住宅社區,false
TTC高鐵商貿中心,台中市烏日區高鐵五路156號,24.1172213,120.6151409,12,26,850,2,,,,商辦大樓,false
寶貴世家,台中市北屯區后庄一街158之1號,24.1882621,120.6635342,10,440,1760,8,8,1993年,17.0,住宅社區,false
永福大樓,台中市豐原區圓環南路193號,24.24853,120.709257,11,9,600,1,,,,商辦大樓,false
日出登陽,台中市北屯區山西路三段192號,24.1852679,120.6872226,15,173,519,7,4,2010年,26.2,住宅社區,false
芝柏信義,台中市豐原區信義街60號,24.2497552,120.7189983,9,10,650,1,,,,商辦大樓,false
文心大第,台中市北屯區遼陽四街49號,24.1725754,120.687968,8,98,383,6,6,1993年,18.1,住宅社區,false
宜新大樓,台中市豐原區圓環西路23號,24.2510424,120.7086893,12,11,700,1,,,,商辦大樓,false
東方風情,台中市北屯區安順東十街83號6樓,24.1758749,120.6919201,7,80,240,4,4,1993年,15.43,住宅社區,false
揚升大樓,台中市豐原區豐陽路52號,24.2503929,120.722653,7,9,500,1,,,,商辦大樓,false
皇家豪門,台中市北屯區安順東一街9號,24.174962,120.677302,11,75,225,3,3,1996年,16.0,住宅社區,false
衍德大樓,台中市豐原區豐南街2號,24.2395842,120.7117995,12,13,600,1,,,,商辦大樓,false
傑隆天廈,台中市北屯區安順東七街36號,24.173778,120.687476,10,79,237,3,1,1996年,15.4,住宅社區,false
豐原皇家,台中市豐原區中山路83號,24.238243,120.710587,12,4,300,1,,,,商辦大樓,false
魯班中國,台中市北屯區安順四街38號,24.1734401,120.6892226,40,96,366,5,5,1993年,15.1,住宅社區,false
名人天廈,台中市豐原區育才街71號,24.2470083,120.7152877,12,3,300,1,,,,商辦大樓,false
悅寶旺,台中市北屯區太祥路229號,24.1704224,120.7309642,10,40,120,2,1,2018年,21.94,住宅社區,false
樹孝傳奇A,台中市太平區樹孝路8之1、8之2、8之16號,24.1500524,120.7164377,15,3,300,1,,,,商辦大樓,false
森林公園一號,台中市東區一心街241號,24.1344048,120.7021385,9~10,366,1098,16,4,2013年,18.0,住宅社區,false
樹孝傳奇B,台中市太平區樹孝路8之3、8之4號,24.1500524,120.7164377,15,3,300,1,,,,商辦大樓,false
勝麗新中匯,台中市東區一心街400號,24.1405381,120.702496,15,119,357,4,2,2018年,18.1,住宅社區,false
樹孝傳奇C,台中市太平區樹孝路8之5、8之6、8之7號,24.1500524,120.7164377,15,1,100,1,,,,商辦大樓,false
台中市福聨新城丙社區,台中市東區富台東街43號,24.145099,120.6908827,16,256,970,8,8,2000年,15.42,住宅社區,false
樹孝傳奇D,台中市太平區樹孝路8之8、8之9、8之10號,24.1500524,120.7164377,15,2,200,1,,,,商辦大樓,false
台中市福聯新城丁社區,台中市東區富榮街38號,24.1461079,120.690174,16,288,1088,9,9,2000年,15.42,住宅社區,false
樹孝傳奇E,台中市太平區樹孝路8之11、8之12號,24.1500524,120.7164377,15,2,200,1,,,,商辦大樓,false
富甲干城A區,台中市東區東英11街91號,24.1439743,120.7084803,13,202,606,6,6,1994年,15.45,住宅社區,false
樹孝傳奇F,台中市太平區樹孝路8之13、8之14、8之15號,24.1500524,120.7164377,15,2,200,1,,,,商辦大樓,false
東京市澀谷區,台中市東區公園東路150-1號,24.1417196,120.6868329,11,330,1320,6,6,2012年,25/,住宅社區,false
德芳商業大樓,台中市大里區德芳南路269號,24.102361,120.686337,6,2,500,1,,,,商辦大樓,false
侑信仁和,台中市東區仁和路501號,24.126658,120.692414,9,25,75,2,1,2016年,19.6,住宅社區,false
富山世貿大樓,台中市大里區大明路395號,24.1148847,120.6795873,14,27,1400,2,,,,商辦大樓,false
江南天下,台中市東區東福路41號,24.127084,120.6985706,7,168,637,10,4,1994年,12.16,住宅社區,false
現代流行廣場大樓,台中市大里區中興路二段438號,24.1087827,120.6902942,13,12,800,,,,,商辦大樓,false
美好莊園文森花園,台中市東區東福路110號,24.12773,120.6988275,14,130,390,5,5,2017年,20.91,住宅社區,false
台中軟體園區文創數位3D示範基地(A),台中市大里區科技路1號,24.0844071,120.6956088,11,5,700,,,,,商辦大樓,false
陽光城市大樓,台中市東區旱溪東路一段296號,24.1348545,120.7009219,14,112,429,4,4,2005年,15.65,住宅社區,false
台中軟體園區文創數位3D示範基地(B),台中市大里區科技路3號,24.0845427,120.6954148,18,5,700,,,,,商辦大樓,false
水鋼琴社區,台中市東區旱溪東路一段292號,24.1343779,120.7007778,15,140,555,4,4,2006年,18.77,住宅社區,false
S1智匯中心,台中市大里區科技路166號,24.0843733,120.6954675,12,41,1300,2,,,,商辦大樓,false
安居樂業,台中市東區樂業路243號,24.139051,120.6996446,14,117,351,4,4,1996年,15.0,住宅社區,false
鄉根公寓大廈,台中市潭子區中山路二段135號,24.2074932,120.704886,16,36,850,1,,,,商辦大樓,false
大熊康橋,台中市東區六順路28號,24.1250297,120.6996896,14,102,306,4,2,2016年,18.3,住宅社區,false
樂業京站,台中市東區樂業路411號,24.137377,120.7058516,12,60,180,2,2,2016年,18.83,住宅社區,false
大慶中山,台中市南區工學二街206、212、216號,24.1133751,120.6636083,12,330,990,15,15,2002年,14.83,住宅社區,false
虎嘯東村,台中市東區進化路278號,24.1521607,120.6945933,16,306,918,9,6,1999年,14.89,住宅社區,false
泰鉅興大苑,台中市南區建成路1643號,24.1262685,120.6744838,12,68,204,2,1,2019年,24.5,住宅社區,false
大時代公寓大廈,台中市南區工學一街173巷12號,24.116218,120.6652152,12~13,1087,4232,33,33,1998年,16.96,住宅社區,false
長億城香榭區,台中市南區工學北路71巷6、10號；工學路146巷16、26號,24.118156,120.66067,21,285,855,8,4,1994年,15.0,住宅社區,false
長億城陽光區,台中市南區工學路116、122號；工學路126巷7、15、25、35號,24.1170223,120.6613682,17,337,1011,9,9,1995年,15.0,住宅社區,false
南天王,台中市南區工學北路86號,24.1192312,120.6611203,18,459,1377,4,4,1996年,16.15,住宅社區,false
工學天下,台中市南區工學北路141~189號,24.1168195,120.6588006,16,452,1356,16,12,1995年,13.7,住宅社區,false
泰鉅綠晶華,台中市南區工學北路366號,24.1154356,120.6563265,12,120,360,4,4,2013年,21.2,住宅社區,false
親親校樹,台中市南區崇倫北街19巷21號,24.1336005,120.656806,13、14,88,264,4,4,2001年,17.9,住宅社區,false
領袖勳章,台中市南區三民西路192、237號,24.1303359,120.6627971,16,240,960,6,6,1994年,16.0,住宅社區,false
悠森學社區,台中市南區建國南路一段226號,24.1238611,120.656589,15,169,507,6,3,2014年,17.52,住宅社區,false
大家住易,台中市南區建國南路二段53、65號,24.1261738,120.6612157,12,105,315,2,2,2017年,22.5,住宅社區,false
順天第一名邸,台中市南區建國南路二段159號,24.1278757,120.6651612,14,135,405,5,5,1997年,16.0,住宅社區,false
比佛利山莊,台中市南區忠明南路730巷34號,24.1241105,120.6581103,14,282,846,8,8,1992年,14.8,住宅社區,false
佛羅里達,台中市南區忠明南路777巷5號,24.1238504,120.6607594,14,238,714,7,7,1998年,18.36,住宅社區,false
家綠寶,台中市南區忠明南路780、782號,24.1225162,120.6603992,21,196,588,4,2,1996年,15.6,住宅社區,false
德昌中國大廈,台中市南區忠明南路916號,24.1191999,120.663107,27,175,700,4,2,1993年,14.78,住宅社區,false
仁美居,台中市南區忠明南路938號,24.1187745,120.6639395,45,135,405,5,3,2014年,23.5,住宅社區,false
國唐綠園道,台中市南區忠明南路1088號,24.1185209,120.6656338,13,75,225,2,1,1992年,17.0,住宅社區,false
親家八期,台中市南區忠明南路786、788、790號；復興路二段71巷2、4號,24.1223055,120.6604897,13,55,212,2,2,1995年,15.82,住宅社區,false
寶運一景,台中市南區復興北路785、787、795號,24.1125094,120.6468696,10~11,109,327,3,3,2015年,24.0,住宅社區,false
鄉林新月灣,台中市南區文心南路888號,24.1114669,120.6596042,15,332,1302,10,6,2011年,22.02,住宅社區,false
靜園,台中市南區文心南路901巷10號,24.1106722,120.6594103,12,80,240,4,4,1997年,12.8,住宅社區,false
靜園A區,台中市南區文心南路901巷13號,24.1100746,120.6596572,17,244,732,6,6,1997年,14.8,住宅社區,false
知欣賞,台中市南區高工南路65巷6號,24.1106139,120.6616729,11,62,186,2,2,2017年,20.0,住宅社區,false
劃江山,台中市南區復興北路500、508、512、518號,24.1159071,120.6499571,17,152,456,4,4,1994年,15.3,住宅社區,false
世界貿易大樓,台中市中區光復路151號,24.1436028,120.6811726,10,12,700,2,,,,商辦大樓,false
望族二期,台中市南區復興北路507號,24.1154234,120.6500613,12,297,891,9,9,1993年,16.1,住宅社區,false
台中實業大樓,台中市中區民權路102號,24.1397885,120.6780282,11,32,1400,2,,,,商辦大樓,false
宏都雙子星,台中市南區復興北路767、769號,24.1129123,120.6471277,38,178,534,4,2,2015年,25.6,住宅社區,false
議前大樓,台中市中區三民路二段1號,24.1404873,120.6773585,12,10,1100,1,,,,商辦大樓,false
鴻邑森園邸,台中市南區三民西路285、287號,24.1299133,120.6583998,30,84,252,4,2,2012年,21.6,住宅社區,false
七福弘邦大樓,台中市中區三民路二段44號,24.1413913,120.6786305,12,25,1200,2,,,,商辦大樓,false
藏韻,台中市南區三民西路299號,24.1298159,120.6579243,14,126,378,4,4,2009年,24.2,住宅社區,false
漢宮大樓,台中市中區三民路二段59號,24.141586,120.6784821,12,1,500,1,,,,商辦大樓,false
一品花園,台中市南區復興路一段207巷17之35號,24.112682,120.648984,14,240,720,7,7,2002年,19.7,住宅社區,false
統領財星,台中市中區三民路二段145號,24.1435106,120.6804072,13,12,1000,1,,,,商辦大樓,false
文心大三元白金特區,台中市南區復興路一段319之20、319之29、319之32號,24.1141439,120.653729,9、12,255,765,4,3,2006年,15.5,住宅社區,false
長生金融大樓,台中市中區台灣大道一段268號,24.1413914,120.6809814,7,8,700,1,,,,商辦大樓,false
薪享市城,台中市南區復興路二段71巷37號,24.1230856,120.658867,8,59,177,3,3,1997年,16.5,住宅社區,false
台中商業大樓,台中市中區自由路二段9號,24.1385875,120.6804619,10,15,1300,1,,,,商辦大樓,false
馬蒂斯,台中市南區復興路二段71巷52號,24.1230439,120.6591617,8,65,195,2,1,2008年,21.1,住宅社區,false
台中市總工會,台中市中區平等街1號,24.139465,120.6783852,8,14,1100,1,,,,商辦大樓,false
綠灣大樓,台中市南區復興路二段71巷77弄51~73號,24.1224966,120.6573797,12,228,684,10,12,1994年,14.5,住宅社區,false
