社區,地址,Latitude,Longitude,樓層數,企業主數,人數預估,安裝片數,棟數,落成,坪價,類型,強調
三和101,新北市三重區三和路四段101之1號,25.0767969,121.48742,18,24,500,1,,,,商辦大樓,false
東方世貿大樓,新北市汐止區中興路95號,25.06451,121.632242,7,13,1200,1,,,,商辦大樓,false
台北圓山,新北市泰山區泰林路二段507號,25.0638182,121.4243977,12,264,792,11,11,1997年,22.25,住宅社區,false
台北綠第,新北市樹林區中華路138號,24.9803742,121.4169938,15,144,432,8,8,1993年,25.2,住宅社區,false
歌林科技大樓,新北市三重區溪尾街14號,25.0754984,121.4912318,8,40,1800,2,,,,商辦大樓,false
世貿麗景,新北市汐止區中興路100號,25.0627377,121.6343981,8,11,900,1,,,,商辦大樓,false
淡江風華,新北市淡水區北新路169巷69弄2號,25.18044,121.447971,8,138,414,6,4,1998年,20.0,住宅社區,false
全球家年華,新北市泰山區泰林路二段521號,25.0637028,121.4238056,13,120,360,5,5,1994年,22.77,住宅社區,false
全球台北人,新北市樹林區中華路323號,24.980065,121.416139,16,480,1440,16,8,1995年,25.4,住宅社區,false
遠東鴻運計畫大樓,新北市三重區光復路一段61巷27號,25.04885,121.473896,13,49,1320,1,,,,商辦大樓,false
亞洲財經廣場大樓,新北市汐止區中興路181號,25.0667205,121.6303726,7,13,1000,1,,,,商辦大樓,false
田園芳鄰,新北市淡水區北新路186號,25.1789773,121.4497311,16,124,252,4,2,1993年,19.85,住宅社區,false
碧富邑,新北市泰山區泰林路二段414巷6號,25.064927,121.427191,14,55,105,2,2,1991年,17.1,住宅社區,false
立信APPLE,新北市樹林區四維路121號,24.9783984,121.4235211,7,30,90,1,1,2018年,29.2,住宅社區,false
阿姆斯壯企業大樓(1),新北市三重區光復路一段81-1號,25.0501609,121.472486,10,14,700,1,,,,商辦大樓,false
康寧科學園區,新北市汐止區康寧街149號,25.067601,121.622054,7,9,400,1,,,,商辦大樓,false
觀渡大廈,新北市淡水區民族路10號,25.1367486,121.4605096,98,20,294,2,1,1992年,34.0,住宅社區,false
遠雄米蘭公園,新北市新莊區中央路232號,25.0592002,121.4549514,24,43,172,3,1,2015年,56.98,住宅社區,false
黃金拍檔,新北市樹林區保安街一段9~11號,24.9936714,121.4262181,13,107,328,2,2,1999年,28.2,住宅社區,false
阿姆斯壯企業大樓(2),新北市三重區光復路一段83巷2號,25.050458,121.472741,10,15,700,1,,,,商辦大樓,false
康寧科學園區,新北市汐止區康寧街151號、康寧街153號,25.0677169,121.6222069,7,13,700,1,,,,商辦大樓,false
關渡大國二期,新北市淡水區民族路31巷32號,25.136687,121.4625393,21,423,1350,10,5,1997年,33.8,住宅社區,false
