社區,地址,Latitude,Longitude,樓層數,企業主數,人數預估,安裝片數,棟數,落成,坪價,類型,強調
"麗寶ALL IN ONE",新北市新莊區中央路556號,25.0586691,121.4486642,18,171,513,4,2,2018年,44.0,住宅社區,false
非常容易A社區,新北市樹林區保安街二段325巷1~33號,25.0063506,121.4113548,9,144,432,8,8,1999年,21.0,住宅社區,false
阿姆斯壯企業大樓(3),新北市三重區光復路一段83巷4號,25.0503834,121.4726686,10,16,700,1,,,,商辦大樓,false
康寧科學園區,新北市汐止區康寧街155號、康寧街157號,25.0676241,121.6225174,7,12,650,1,,,,商辦大樓,false
春天之旅社區,新北市淡水區民族路65巷8~60號,25.136053,121.463751,12,272,816,12,6,2007年,33.3,住宅社區,false
碧瑤峰範,新北市新莊區福美街16號,25.0534448,121.4608416,21,40,150,2,1,2015年,50.0,住宅社區,false
非常容易B社區,新北市樹林區保安街二段325巷16~66號,25.0067524,121.4114028,9,216,648,9,9,1999年,21.0,住宅社區,false
阿姆斯壯企業大樓(4),新北市三重區光復路一段83巷6號,25.0503913,121.4727622,10,14,800,1,,,,商辦大樓,false
康寧科學園區,新北市汐止區康寧街159號、康寧街161號,25.0673616,121.6221322,7,14,700,1,,,,商辦大樓,false
摩登家庭,新北市淡水區民族路116、118號,25.1350151,121.4627528,13,93,279,4,4,1998年,29.0,住宅社區,false
柏源雅築,新北市新莊區民樂街65巷5~15號,25.0418347,121.4567402,7,58,170,3,2,1995年,31.0,住宅社區,false
玫瑰人生社區,新北市樹林區光華街10巷1號,25.0030263,121.4128583,10,400,1200,10,10,1993年,24.0,住宅社區,false
阿姆斯壯企業大樓(5),新北市三重區光復路一段83巷8號,25.0504056,121.4729395,10,21,700,1,,,,商辦大樓,false
康寧科學園區,新北市汐止區康寧街163號,25.0678176,121.6224625,7,8,600,1,,,,商辦大樓,false
關渡御花園,新北市淡水區民族路112巷31-33號,25.1345879,121.4620702,7,126,513,9,9,1998年,28.0,住宅社區,false
富利天廈,新北市新莊區龍安路5之1號,25.0186475,121.42372,20,117,351,2,1,2012年,33.0,住宅社區,false
麗寶世紀館,新北市樹林區學成路601號,24.946292,121.381375,19,619,1857,2,1,2010年,28.3,住宅社區,false
阿姆斯壯企業大樓(6),新北市三重區光復路一段83巷10號,25.0504208,121.4731118,10,18,750,1,,,,商辦大樓,false
大湖科學園區第四期,新北市汐止區康寧街169巷1號,25.0672434,121.622822,7,2,1100,2,,,,商辦大樓,false
大河文明,新北市淡水區沙崙路145號,25.1833307,121.4235408,19,315,945,9,7,1995年,15.5,住宅社區,false
捷仕堡,新北市新莊區龍安路13~27號,25.0230249,121.4144349,28,416,1248,2,2,1997年,64.83,住宅社區,false
台北富境,新北市樹林區三龍街115-6號,25.0184267,121.4175537,9,106,318,5,3,2011年,24.18,住宅社區,false
阿姆斯壯企業大樓(7),新北市三重區光復路一段83巷12號,25.0505805,121.4730363,10,14,800,1,,,,商辦大樓,false
大湖科學園區第一期A棟,新北市汐止區康寧街169巷31號,25.0694682,121.6221443,13,16,1700,1,,,,商辦大樓,false
陽光海宴社區,新北市淡水區沙崙路181號,25.1840527,121.4245544,12,179,537,7,7,1995年,15.8,住宅社區,false
甲子園,新北市新莊區龍安路66之1~17號,25.0210283,121.4143595,6、8,109,330,6,6,1999年,27.0,住宅社區,false
樹林國寶,新北市樹林區啟智街129之1號,24.9891322,121.4179262,10,120,360,6,6,1992年,26.0,住宅社區,false
阿姆斯壯企業大樓(8),新北市三重區光復路一段83巷14號,25.0504354,121.4732903,10,25,700,1,,,,商辦大樓,false
大湖科學園區第一期B棟,新北市汐止區康寧街169巷31-1號,25.0694682,121.6221443,13,28,1600,1,,,,商辦大樓,false
幸福奇蹟,新北市淡水區沙崙路216巷18號,25.183786,121.425827,6,70,210,5,5,2011年,19.07,住宅社區,false
文學苑,新北市新莊區龍安路85~99號,25.0220492,121.4162002,9,113,339,5,5,2000年,28.0,住宅社區,false
揚名福星,新北市樹林區俊保路101巷1~22號,25.0082602,121.4223263,12,336,1008,11,11,1998年,21.3,住宅社區,false
台北科技城A、B棟,新北市三重區光復路一段90號,25.050897,121.4719504,10,99,2800,4,,,,商辦大樓,false
大湖科學園區第二期A棟,新北市汐止區康寧街169巷27號,25.0687178,121.6227594,13,30,1200,1,,,,商辦大樓,false
安家帝景,新北市淡水區沙崙路216巷66號,25.1845255,121.4262452,14,145,435,5,5,2008年,19.54,住宅社區,false
龍安天下,新北市新莊區龍安路266巷14~28號,25.0188162,121.4214187,16,103,300,4,4,1993年,26.0,住宅社區,false
漢林苑,新北市樹林區前鎮街413-5號,24.9831059,121.414408,9,261,1044,13,9,1997年,23.5,住宅社區,false
萬國財星大樓(A),新北市三重區光復路二段80號,25.057053,121.471699,10,9,800,1,,,,商辦大樓,false
大湖科學園區第二期B棟,新北市汐止區康寧街169巷27-1號,25.0687517,121.6226518,13,33,1200,1,,,,商辦大樓,false
新品川社區,新北市淡水區沙崙路一段122號,25.1886465,121.4304003,15,144,432,4,2,1997年,21.0,住宅社區,false
天天開心,新北市新莊區龍安路278巷9號,25.0187678,121.4221862,8,176,528,9,9,1995年,27.96,住宅社區,false
泰隆新時代A區,新北市樹林區鎮前街425巷10號,24.9822144,121.4139676,12,100,300,4,4,1994年,24.9,住宅社區,false
萬國財星大樓(B),新北市三重區光復路二段80號之1,25.057053,121.471699,10,9,900,1,,,,商辦大樓,false
大湖科學園區第二期C棟,新北市汐止區康寧街169巷29號,25.0689901,121.6226222,13,26,1200,1,,,,商辦大樓,false
佳昂家昂社區,新北市淡水區沙崙路一段126巷6號,25.1886276,121.4309287,14,67,134,2,1,2019年,18.2,住宅社區,false
極品21社區,新北市新莊區思源路421號,25.0527632,121.4596068,21,195,615,4,2,1997年,38.0,住宅社區,false
皇晶鑽,新北市樹林區中山路一段94、96、98號,24.9912869,121.4231163,12,22,66,3,1,2009年,48.09,住宅社區,false
獅子大廈,新北市三重區中正北路18號,25.063349,121.488427,8,7,300,1,,,,商辦大樓,false
大湖科學園區第二期D棟,新北市汐止區康寧街169巷29-1號,25.06912,121.6226035,13,34,1200,1,,,,商辦大樓,false
花見社區,新北市淡水區新春街65巷37號,25.1825764,121.4367781,9,117,474,6,6,2015年,19.0,住宅社區,false
禮躍,新北市新莊區福美街172巷66號,25.0596343,121.4624026,15,98,294,2,1,2019年,42.0,住宅社區,false
米蘭文華,新北市樹林區中山路二段46-1號,24.9848509,121.4168218,22,162,486,3,1,2019年,32.05,住宅社區,false
陽慶集賢大第,新北市三重區重新路三段128號,25.0598926,121.4920674,12,22,950,1,,,,商辦大樓,false
大湖科學園區第三期A棟,新北市汐止區康寧街169巷21號,25.0680742,121.6227353,13,32,1700,1,,,,商辦大樓,false
原石樸莊,新北市淡水區新春街85巷25弄31~87號,25.1832767,121.4385102,8,232,696,15,15,2013年,24.44,住宅社區,false
權泰新六藝,新北市新莊區昌德街90號,25.0551538,121.4554775,11,48,193,2,1,2017年,52.7,住宅社區,false
鴻旗名邸,新北市樹林區復興路295巷9號,24.9888552,121.4191054,9,108,324,6,6,1994年,25.2,住宅社區,false
湯城園區12號大樓,新北市三重區重新路五段609巷12號,25.0464749,121.4684349,10,36,1300,4,,,,商辦大樓,false
大湖科學園區第三期B棟,新北市汐止區康寧街169巷23號,25.0683222,121.6226999,13,33,1600,1,,,,商辦大樓,false
夢想家社區,新北市淡水區新春街103之10號,25.1821859,121.4402046,7,102,306,6,4,2015年,19.0,住宅社區,false
君泰,新北市新莊區雙鳳路77巷2~8號,25.0272086,121.4137272,21,341,1020,8,3,2016年,38.4,住宅社區,false
台北牛津,新北市樹林區復興路355號,24.987379,121.417435,7,126,378,9,9,1994年,27.8,住宅社區,false
湯城園區14號大樓,新北市三重區重新路五段609巷14號,25.045906,121.468161,10,31,1650,2,,,,商辦大樓,false
大湖科學園區第三期C棟,新北市汐止區康寧街169巷25號,25.0683911,121.6227731,13,35,1700,1,,,,商辦大樓,false
丰悅夏宮社區,新北市淡水區新春街146號,25.1815657,121.4420611,17~18,579,1737,12,6,2015年,23.0,住宅社區,false
君泰凰,新北市新莊區雙鳳路77巷1、3號,25.0272086,121.4137272,21,152,456,3,2,2016年,38.0,住宅社區,false
喜來登,新北市土城區學成路42~60號,24.988036,121.452736,15,122,366,4,2,1995年,34.35,住宅社區,false
湯城園區16號大樓,新北市三重區重新路五段609巷16號,25.046612,121.467704,10,29,1500,2,,,,商辦大樓,false
東方科學中心,新北市汐止區福德一路342巷2弄1號,25.0632031,121.6296035,5,10,800,2,,,,商辦大樓,false
摩天31社區,新北市淡水區新春街190號,25.1808565,121.443767,124,1122,4488,12,4,2000年,20.0,住宅社區,false
傳家尊爵,新北市新莊區新泰路42~48號,25.034339,121.4495408,3,69,207,3,2,2015年,51.0,住宅社區,false
新東京(銀座),新北市土城區學成路108巷1~15號,24.988036,121.452736,12,84,63,4,4,1994年,36.5,住宅社區,false
湯城園區18號大樓,新北市三重區重新路五段609巷18號,25.0459485,121.467037,10,55,2000,2,,,,商辦大樓,false
漢寶科技大樓,"新北市汐止區福德三路363號 ",25.0665236,121.6271981,13,26,1400,1,,,,商辦大樓,false
九泰社區,新北市淡水區中山北路二段5號,25.1832826,121.4442359,15,93,279,2,1,2018年,27.0,住宅社區,false
皇家與帝國,新北市新莊區新泰路227、229號,25.03936,121.446101,16,215,645,8,5,1994年,33.82,住宅社區,false
新東京新宿特區,新北市土城區學成路108巷1號,24.9894772,121.4499403,7,76,228,4,4,1994年,32.0,住宅社區,false
金陵科技大樓,新北市三重區重新路五段639、639之1、639之2、639之3號,25.0433874,121.4668163,10,17,800,,,,,商辦大樓,false
遠東世界中心(A),新北市汐止區新台五路一段81號,25.0610939,121.6463387,21,96,5900,5,,,,商辦大樓,false
丰上社區,新北市淡水區中山北路三段31巷112號,25.1899518,121.4426959,13,285,855,12,10,2012年,23.0,住宅社區,false
台北新都會,新北市新莊區新泰路480~488號；新泰路490巷1~38號,25.0459129,121.4427315,5~10,274,822,10,9,1996年,42.0,住宅社區,false
盛會公寓大廈,新北市土城區學府路一段68巷2弄2號,24.9886824,121.4567948,7,195,585,13,13,1994年,32.0,住宅社區,false
世紀登豐大樓,新北市三重區重新路五段646號,25.0439755,121.4685508,14,69,2000,2,,,,商辦大樓,false
遠東世界中心(B),新北市汐止區新台五路一段79號,25.061683,121.6459607,21,129,5800,6,,,,商辦大樓,false
麗緻花園,新北市淡水區新民街19巷2號,25.175443,121.4391755,14,475,1425,10,5,2001年,22.89,住宅社區,false
捷運臻境,新北市新莊區中正路新建巷28弄71號,25.0208998,121.4139032,14、15,110,330,3,3,2008年,31.2,住宅社區,false
大京采,新北市土城區學府路一段24巷10、11號,24.988472,121.4584027,12,133,399,5,5,1996年,33.0,住宅社區,false
希爾頓經貿大樓,新北市三重區重安街102號,25.0559077,121.4930231,12,20,300,1,,,,商辦大樓,false
遠東世界中心(C),新北市汐止區新台五路一段77號,25.0617786,121.6454416,20,162,6100,11,,,,商辦大樓,false
瀚林苑,新北市淡水區新民街106巷2~104號,25.1776167,121.4385206,7,100,300,5,5,2010年,23.77,住宅社區,false
黃金廣場,新北市新莊區中正路349~355號；中正路347巷2~34號,25.0343588,121.4471676,9、10,120,360,5,5,1994年,34.77,住宅社區,false
榮譽市民公寓大廈,新北市土城區學府路一段98巷8號,24.9883414,121.4559825,13,270,810,6,3,1994年,35.0,住宅社區,false
贏翼商業大樓,新北市三重區興德路111號,25.0534763,121.4711991,13,78,2200,4,,,,商辦大樓,false
遠東世界中心(D),新北市汐止區新台五路一段75號,25.061104,121.645707,20,72,6000,5,,,,商辦大樓,false
天域社區,新北市淡水區新民街296號,25.1827463,121.4352804,7,145,580,11,11,2009年,26.9,住宅社區,false
宏運黃金廣場巴黎區大廈,新北市新莊區中正路347巷35號,25.0339282,121.4469732,11,98,392,4,3,1995年,29.69,住宅社區,false
快樂成家,新北市土城區學府路一段98巷1~29號,24.988212,121.456089,8,222,666,9,9,1994年,35.7,住宅社區,false
遠見科技A棟,新北市三重區興德路82、84、86、88、90、92號,25.0533297,121.4737339,16,63,2000,2,,,,商辦大樓,false
"遠雄U-TOWN A",新北市汐止區新台五路一段99號,25.0620899,121.6478284,37,13,5000,8,,,,商辦大樓,false
名人賞,新北市淡水區中山北路三段73號,25.1918799,121.4442824,14,51,153,2,1,2012年,18.4,住宅社區,false
豐年麗景,新北市新莊區中正路377巷2~8號、中正路379~383號,25.0341214,121.4462511,14,84,250,3,3,2002年,37.56,住宅社區,false
泰隆麗都,新北市土城區學府路一段99巷10-1號,24.9867609,121.4568078,13,124,372,5,5,1995年,32.1,住宅社區,false
遠見科技B棟,新北市三重區興德路94、96、98、100號,25.0531555,121.4729357,16,47,2200,2,,,,商辦大樓,false
"遠雄U-TOWN B",新北市汐止區新台五路一段97號,25.0622132,121.6493031,37,2,5000,8,,,,商辦大樓,false
海闊天高社區,新北市淡水區中正東路二段25巷2號,25.1576902,121.4594292,7,87,251,3,3,2006年,26.5,住宅社區,false
高財生,新北市新莊區中正路897號,25.021638,121.4117164,16,77,465,8,4,1998年,40.6,住宅社區,false
美麗宏國B區,新北市土城區學府路一段126巷27.29號,24.987892,121.453385,18,390,1196,13,13,1995年,37.82,住宅社區,false
前瞻企業大樓A棟,新北市三重區新北大道二段262號,25.061673,121.465973,14,52,1000,1,,,,商辦大樓,false
"遠雄U-TOWN C",新北市汐止區新台五路一段95號,25.0620705,121.6485767,37,58,5000,8,,,,商辦大樓,false
富陽四季(北區),新北市淡水區中正東路二段77~79號,25.1540971,121.4599115,25,194,582,4,2,2004年,34.55,住宅社區,false
輔大名廈,新北市新莊區中正路508巷5弄17、19號,25.0362229,121.438038,6,59,177,5,5,1996年,32.0,住宅社區,false
世紀經典,新北市土城區學府路一段280巷1、3、5、7號,24.982753,121.449422,8,247,741,8,8,1994年,40.42,住宅社區,false
中華電信線路大樓,新北市三重區正義南路107號,25.0588131,121.4985586,6,1,700,1,,,,商辦大樓,false
"遠雄U-TOWN D",新北市汐止區新台五路一段93號,25.0620857,121.6478299,37,122,5000,8,,,,商辦大樓,false
關渡名軒公寓大廈,新北市淡水區自立路40號,25.1277169,121.4642751,9,49,138,2,2,2006年,28.8,住宅社區,false
輔大別墅,新北市新莊區中正路508巷5弄2~32號,25.034095,121.434654,6,78,310,5,5,1988年,31.0,住宅社區,false
信義皇家,新北市土城區學府路一段25~33號,24.988342,121.4583395,12,195,390,4,3,1993年,35.2,住宅社區,false
金銀大樓,新北市蘆洲區中山一路10號,25.0806531,121.4801117,8,9,200,1,,,,商辦大樓,false
國揚雲端科技大樓,新北市汐止區南興路53號,25.0619371,121.6520065,11,2,600,2,,,,商辦大樓,false
富升關渡公寓大廈,新北市淡水區自立路1巷1號,25.1284704,121.4634722,20,236,690,6,1,1998年,29.2,住宅社區,false
輔大世界,新北市新莊區建國一路59~69號,25.030088,121.434728,10,150,450,4,4,1994年,22.57,住宅社區,false
台北駙馬,新北市土城區福祥街1號,24.979338,121.4405209,8,156,468,4,4,1993年,39.2,住宅社區,false
蘆洲區農會總會大樓,新北市蘆洲區中山一路129號,25.0814862,121.4757982,7,2,300,1,,,,商辦大樓,false
雍和台北園區B.C棟,新北市汐止區南陽街211號,25.0581616,121.6262976,12,22,3100,,,,,商辦大樓,false
天琴社區,新北市淡水區濱海路二段202巷65弄31號,25.1925591,121.433793,15,114,342,4,2,2013年,18.0,住宅社區,false
環球富易,新北市新莊區天祥街92巷47、49、51號,25.0303078,121.4155754,9,132,396,7,7,1999年,22.0,住宅社區,false
帝國園林A區,新北市土城區福祥路24號,25.0035387,121.4995251,136,264,1056,13,13,1990年,28.0,住宅社區,false
"鴻運天下大樓 ",新北市蘆洲區集賢路238號,25.085955,121.4818591,14,15,1000,1,,,,商辦大樓,false
鳳凰科技,新北市汐止區南陽街250號,25.0567442,121.6271733,6,15,1000,1,,,,商辦大樓,false
映月公寓大廈,新北市淡水區濱海路二段212號,25.1904812,121.4340002,15,73,210,2,1,2018年,21.12,住宅社區,false
捷運之星,新北市新莊區天祥街94~116號,25.0296272,121.4151976,13,154,460,6,6,2010年,34.4,住宅社區,false
帝國園林B區,新北市土城區福祥街65~89號,24.980698,121.440914,7,56,224,8,8,1990年,28.73,住宅社區,false
日新工商大樓,新北市蘆洲區國道路二段26號,25.073921,121.4744782,7,11,550,1,,,,商辦大樓,false
信義企業商業園區A棟,新北市深坑區北深路三段155巷27、29、31、33號,25.0023649,121.6018096,10,17,800,1,,,,商辦大樓,false
富麗河社區,新北市淡水區濱海路三段148巷50弄50號,25.1918595,121.4293772,13,149,447,6,3,2017年,20.0,住宅社區,false
容邑Park,新北市新莊區富貴路156號,25.0573917,121.4548637,15,177,531,4,2,2018年,41.0,住宅社區,false
銀河璽朵,新北市土城區延安街42號,24.9852907,121.4673773,12,57,171,4,2,2011年,42.2,住宅社區,false
豪今科技大樓,新北市蘆洲區國道路二段68號,25.074359,121.4726631,7,45,800,1,,,,商辦大樓,false
信義企業商業園區B棟,新北市深坑區北深路三段155巷13、15、17、19、21、23號,25.0025852,121.6015251,10,32,1000,1,,,,商辦大樓,false
藍灣社區,新北市淡水區中原東路一段83號,25.1614245,121.4530629,20,126,378,3,3,2002年,24.0,住宅社區,false
公園賞,新北市新莊區西盛街169號,25.0174694,121.4282383,14,270,3780,10,10,2001年,30.0,住宅社區,false
大順金品社區大廈,新北市土城區延吉街102-110號,24.9863155,121.4703875,12,130,390,10,10,1993年,29.3,住宅社區,false
新巨大樓(原藍天大樓),新北市五股區五權路48號,25.0687888,121.4535414,6,4,2000,2,,,,商辦大樓,false
信義企業商業園區C棟,新北市深坑區北深路三段155巷5、7、9、11號,25.0031623,121.602334,10,18,800,1,,,,商辦大樓,false
淡水黃金海岸,新北市淡水區中正路二段10、12號,25.180581,121.420783,21,76,228,2,1,1995年,16.0,住宅社區,false
敦南社區,新北市新莊區西盛街323巷6~24號,25.014388,121.428903,15,119,357,5,3,1991年,25.4,住宅社區,false
明華園,新北市土城區明德路一段41號,24.9851978,121.4651456,16,236,708,8,4,1996年,32.3,住宅社區,false
興灃大樓,新北市五股區五工路127號,25.0687158,121.4512177,10,17,850,1,,,,商辦大樓,false
信義企業商業園區D棟,新北市深坑區北深路三段151、153號；155巷1、3號,25.003228,121.602635,10,30,900,1,,,,商辦大樓,false
菓嶺大道,新北市淡水區沙崙路232號,25.1840549,121.4255668,19,318,954,9,6,1995年,18.69,住宅社區,false
國富民安,新北市新莊區西盛街369巷2號,25.0136372,121.4280752,7,136,480,8,8,1995年,25.0,住宅社區,false
四季廣場,新北市土城區延吉街317號,24.9842695,121.4658207,17,240,720,7,4,1995年,29.7,住宅社區,false
新北產業科技園區(甲),新北市五股區五權七路10號,25.0660337,121.4479306,8,16,600,1,,,,商辦大樓,false
CIA世貿科學園區A棟,新北市深坑區北深路三段248、250、252、254號,25.0044521,121.5999795,8,18,1660,4,,,,商辦大樓,false
宏盛新世界,新北市淡水區沙崙路一段126巷60號,25.1881369,121.4322147,23,470,1410,10,5,2017年,25.5,住宅社區,false
麗池豪景,新北市新莊區中華路二段166號,25.0515441,121.4533424,12,192,576,8,8,2004年,34.8,住宅社區,false
天京大廈,新北市土城區明德路二段56~62號,24.9831044,121.4482084,21,405,1215,6,3,1998年,43.0,住宅社區,false
新北產業科技園區(乙),新北市五股區五權七路24號,25.0673326,121.44872,8,16,600,1,,,,商辦大樓,false
CIA世貿科學園區B棟,新北市深坑區北深路三段256、258、260、262號,25.0043775,121.5996916,8,11,1500,1,,,,商辦大樓,false
詠萃社區,新北市淡水區沙崙路一段126巷18號,25.18862,121.4314254,15,98,294,4,2,2018年,27.8,住宅社區,false
萊茵麗池,新北市新莊區中華路二段187、189、191號,25.0523939,121.4522805,14,98,294,3,3,2011年,37.0,住宅社區,false
軍翰大帝,新北市土城區明德路二段179號,24.9831981,121.4474886,14,167,501,6,6,1998年,37.3,住宅社區,false
新北產業科技園區(丙,新北市五股區五權路7巷2號,25.0649959,121.4483426,8,16,600,1,,,,商辦大樓,false
信義財貿商業園區(1),新北市深坑區北深路三段266、268號,25.0047886,121.5990085,8,7,800,1,,,,商辦大樓,false
海月特區,新北市淡水區淡金路16巷72號,25.1609752,121.4600122,12,48,144,2,2,1998年,21.0,住宅社區,false
碧瑤金鑽,新北市新莊區中港路328、330、332、336號,25.04561,121.4523292,19,69,180,1,1,2015年,39.24,住宅社區,false
千秋萬世,新北市土城區青雲路154-168號,24.9831907,121.4589438,17,136,554,2,1,1994年,27.3,住宅社區,false
新北產業科技園區(丁),新北市五股區五權路9號,25.065703,121.4487771,8,16,600,1,,,,商辦大樓,false
信義財貿商業園區(2),新北市深坑區北深路三段270巷2、6號,25.0049746,121.5986968,8,9,700,1,,,,商辦大樓,false
美式家庭,新北市淡水區淡金路16巷129~139號,25.1609126,121.4602016,11,33,495,3,3,1997年,17.0,住宅社區,false
心富麗,新北市新莊區中港路132巷13、15、17號,25.0409079,121.4561601,15,41,123,2,1,2017年,41.0,住宅社區,false
四海名門,新北市土城區青雲路587巷12-38號,24.9711132,121.4602076,7,260,780,15,10,1995年,23.54,住宅社區,false
新北產業科技園區(戊),新北市五股區五權五路45號,25.0669106,121.4529363,8,16,600,1,,,,商辦大樓,false
信義財貿商業園區(3),新北市深坑區北深路三段270巷8、10號,25.0049746,121.5986968,8,9,900,1,,,,商辦大樓,false
盧卡小丘,新北市淡水區淡金路16巷59~109號,25.1610112,121.4589246,6~11,243,1215,10,9,2014年,25.0,住宅社區,false
中港吉第,新北市新莊區中港路537號,25.051826,121.4515428,8,81,324,3,3,1996年,32.98,住宅社區,false
竹城日賞,新北市土城區中州路62~78號,24.9581708,121.4121623,14,114,342,4,4,2001年,28.2,住宅社區,false
林聖鈞大樓,新北市新莊區五工路70號,25.0635607,121.4579222,6,4,400,,,,,商辦大樓,false
信義財貿商業園區(4),新北市深坑區北深路三段270巷12、14號,25.0049746,121.5986968,8,24,800,1,,,,商辦大樓,false
山海大地,新北市淡水區淡金路16巷15-1號,25.1606208,121.4581407,20,391,1173,8,6,1994年,21.02,住宅社區,false
國順府城,新北市新莊區中港路559~589號,25.0520248,121.4512829,13,174,522,4,4,1996年,39.0,住宅社區,false
中央名門,新北市土城區中央東路二段80巷11弄2.4號,24.9792672,121.4413265,8,96,384,5,5,1993年,36.9,住宅社區,false
永佶大樓,新北市新莊區五工路82號,25.064016,121.457512,9,12,800,1,,,,商辦大樓,false
信義財貿商業園區(5),新北市深坑區北深路三段270巷16、18號,25.0049746,121.5986968,8,34,1000,1,,,,商辦大樓,false
翡冷翠社區,新北市淡水區淡金路38巷62號,25.1611826,121.4577952,11,188,564,7,7,2010年,25.0,住宅社區,false
天莊,新北市新莊區中華路二段155號,25.0514881,121.4526943,13,371,1113,16,10,1996年,33.4,住宅社區,false
大世紀花園廣場,新北市土城區中華路一段31~43號,24.9887764,121.446234,16,280,840,8,4,1995年,33.42,住宅社區,false
許氏企業大樓,新北市新莊區新樹路607號,25.0053649,121.43358,11,11,650,,,,,商辦大樓,false
CIA世貿科學園甲區(1),新北市深坑區北深路三段270巷1之3號,25.00511,121.59822,9,11,800,1,,,,商辦大樓,false
淡江有約花園大廈,新北市淡水區淡金路一段509號,25.1795698,121.453299,15,363,1080,12,6,2009年,19.14,住宅社區,false
言真公寓大廈,新北市新莊區思源路128巷1號,25.047461,121.460285,18,103,412,4,2,2018年,50.92,住宅社區,false
鎮成功,新北市土城區中華路一段145號,24.986313,121.4441514,14,88,352,2,2,1994年,30.2,住宅社區,false
仁明股份有限公司,新北市新莊區五工五路9號,25.0630409,121.455483,7,14,700,1,,,,商辦大樓,false
CIA世貿科學園甲區(2),新北市深坑區北深路三段270巷5之7號,25.00526,121.5984,6,3,900,1,,,,商辦大樓,false
淡水情歌,新北市淡水區淡金路二段93-106號,25.181804,121.4510831,20,406,1325,9,3,2009年,26.55,住宅社區,false
大富翁公寓大廈,新北市新莊區思源路331號,25.049612,121.459547,12,155,465,5,4,1995年,37.5,住宅社區,false
員林新城,新北市土城區員林街14~32號,24.9777189,121.4431004,12,432,1296,9,9,1994年,32.14,住宅社區,false
仁愛大樓(新北市產業園區),新北市新莊區五權一路3號,25.065938,121.456837,8,32,1200,2,,,,商辦大樓,false
CIA世貿科學園甲區(3),新北市深坑區北深路三段270巷9之11號,25.005418,121.5987727,6,10,800,1,,,,商辦大樓,false
鴻築one,新北市淡水區淡金路二段407號,25.1863181,121.4467859,14,55,220,2,1,2014年,22.78,住宅社區,false
維也納花園,新北市新莊區幸福路806號,25.0492199,121.4461139,9,211,641,10,10,2001年,34.5,住宅社區,false
歡喜圓,新北市土城區廣明街41巷24號,24.9931213,121.4540593,15,189,567,5,4,1996年,35.63,住宅社區,false
信義5號大樓,新北市新莊區五權ㄧ路5號,25.0664199,121.457847,8,57,1200,1,,,,商辦大樓,false
CIA世貿科學園甲區(4),新北市深坑區北深路三段274、276號,25.0049429,121.5979854,6,10,800,1,,,,商辦大樓,false
峇里VITA,新北市淡水區淡金路二段507號,25.1898484,121.4465704,15,281,859,8,8,2012年,20.0,住宅社區,false
